scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000265-000285,phi,rightward,20.616599,3,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene. The red cabinets and the green appliance remain in the same position, indicating that the camera has moved horizontally to the right. There is no evidence of leftward movement or no movement, and the image is not rotated, so the answer is rightward.",None
pumpkin,seq-06,000950-000983,phi,leftward,15.19751,1,no movement,"Both images appear to be taken from the same angle and perspective, with no noticeable change in the camera's position relative to the objects in the room. The arrangement of the cabinets, the sink, and the items on the counter remain consistent between the two images, indicating that the camera did not move significantly from the source image to the target image.",None
redkitchen,seq-04,000334-000362,phi,rightward,15.427867,3,rightward,"The target image is taken from a slightly different angle compared to the source image, with the camera positioned more to the right side of the scene. This suggests that the camera has moved to the right when viewing the target image from the source image.",None
stairs,seq-04,000151-000179,phi,leftward,15.41564,3,rightward,"The staircase in both images appears to be in the same position relative to the camera, with no noticeable change in perspective or angle. This suggests that there has been no significant movement of the camera from the source image to the target image.",None
office,seq-03,000697-000712,phi,leftward,18.685102,1,leftward,"The source image is blurry and the target image is clearer, indicating that the camera moved leftward to capture the target image. The left side of the target image is more in focus compared to the source image, suggesting a leftward movement of the camera.",None
office,seq-09,000766-000780,phi,leftward,16.300114,1,leftward,"The source image shows a room with a chair and a desk, while the target image shows a different angle of the same room with the chair and desk. The camera appears to have moved to the left to capture the target image, as the chair and desk are now in a different position relative to the camera's perspective.",None
chess,seq-02,000055-000082,phi,leftward,15.033127,2,leftward,"The target image is a zoomed-in version of the source image, focusing on the chessboard and the chair. This indicates that the camera moved closer to the subject, resulting in a smaller field of view and a more detailed view of the chessboard and chair. Therefore, the main camera movement from the source image to the target image is leftward.",None
office,seq-08,000710-000724,phi,rightward,17.975933,2,leftward,"The target image is taken from a different angle compared to the source image, with the camera positioned to the left side of the desk and chair, suggesting a leftward movement from the source image to the target image.",None
office,seq-04,000691-000717,phi,rightward,15.378286,1,rightward,"The target image is taken from a slightly different angle compared to the source image, with the camera positioned more to the right. This can be inferred from the change in the perspective of the objects on the desk and the slight shift in the position of the mannequins' heads.",None
redkitchen,seq-12,000294-000317,phi,rightward,16.646788,1,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right, capturing the same scene but from a slightly different angle. The position of the objects and the layout of the room remain consistent, indicating a rightward movement of the camera.",None
office,seq-08,000267-000284,phi,leftward,15.348399,1,rightward,"The target image is a blurred version of the source image, indicating that the camera moved rightward while capturing the image. The motion blur suggests that the camera was moving horizontally during the exposure, resulting in the blurred appearance of the objects in the image.",None
office,seq-07,000236-000279,phi,leftward,27.607591,1,unable to judge,"Both images appear to be of the same room with no significant changes in the layout or positioning of objects. The lighting and perspective are consistent, suggesting that there has been no movement of the camera from the source image to the target image.",None
redkitchen,seq-12,000821-000833,phi,leftward,15.780138,2,rightward,"The target image appears to be a continuation of the source image, with the camera moving slightly to the right to capture the same scene. The layout and objects in the image remain consistent, indicating a minimal movement of the camera.",None
