scene,seq,pair,dof,label text,label value,pred option,pred text,reason,question
pumpkin,seq-03,000163-000190,phi,leftward,18.324563,1,leftward,"The target image appears to be a continuation of the source image, with the camera moving to the right, capturing the same scene from a slightly different angle. The layout of the kitchen and the position of the objects remain consistent, indicating a leftward movement of the camera.",None
redkitchen,seq-14,000701-000728,phi,leftward,27.373873,0,leftward,"The source image is blurry and lacks clear details, making it difficult to accurately assess the camera movement. However, the target image appears to be a clearer and more focused version of the same scene, suggesting that the camera moved leftward to capture the image. The leftward movement would allow the camera to maintain a consistent perspective and composition between the two images.",None
pumpkin,seq-01,000656-000698,phi,rightward,28.940508,2,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera positioned more to the right side of the counter. This suggests that the camera has moved to the right when comparing the two images.",None
fire,seq-02,000033-000180,phi,rightward,19.819575,1,rightward,"The target image appears to be a continuation of the source image with a slight shift to the right, as indicated by the position of the objects and the layout of the room. The fire extinguisher and the 'CLEANING' sign are still present, but their positions have changed slightly, suggesting a rightward movement of the camera.",None
pumpkin,seq-06,000875-000904,phi,leftward,22.523666,1,leftward,"The target image is a zoomed-in version of the source image, focusing on the vending machine. The camera appears to have moved closer to the vending machine, resulting in a larger and more detailed view of the machine in the target image compared to the source image. This suggests that the camera moved leftward to capture the target image.",None
office,seq-03,000760-000787,phi,leftward,16.504665,0,leftward,"The source image shows a room with a desk, chairs, and a backpack. The target image appears to be a continuation of the same scene with a slight shift in perspective. The camera seems to have moved closer to the desk, giving a more detailed view of the items on it, such as the papers and the backpack. This suggests that the camera moved leftward from the source image to the target image.",None
pumpkin,seq-01,000271-000300,phi,leftward,15.991267,0,leftward,"The source image (image1) and the target image (image2) appear to be taken from the same angle and perspective. The arrangement of the kitchen appliances and cabinets is consistent between the two images, with no noticeable changes in position or perspective. Therefore, it can be inferred that the main camera movement from the source image to the target image is leftward.",None
office,seq-08,000316-000355,phi,leftward,31.097739,1,leftward,"The source image shows a room with a desk and a chair, while the target image shows the same room but from a different angle. The camera has moved to the left, as the left side of the desk and chair are more visible in the target image compared to the source image. Additionally, the position of the computer monitor and the desk in the target image is different from the source image, indicating a leftward movement of the camera.",None
pumpkin,seq-01,000608-000657,phi,rightward,22.98506,1,leftward,"The source image shows a clear view of the kitchen with red cabinets and a sink. The target image appears to be taken from a slightly different angle, with the camera positioned more to the left, as the left side of the sink and the left cabinet are more visible. This suggests a leftward movement of the camera from the source to the target image.",None
pumpkin,seq-06,000901-000936,phi,leftward,20.90486,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene. The red cabinets and the layout of the kitchen remain consistent, indicating that the camera has moved horizontally to the right.",None
office,seq-07,000239-000276,phi,leftward,22.50223,1,rightward,"The source image shows a room with a bed and a desk with a computer, while the target image shows the same room but with the camera positioned closer to the desk, giving a different perspective of the room. This suggests that the camera moved rightward from the source image to the target image.",None
office,seq-03,000719-000747,phi,leftward,20.34014,1,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera possibly moved to the right. The position of the desk and the chair relative to the background elements suggest a rightward shift in the camera's position.",None
office,seq-07,000159-000187,phi,leftward,16.607467,1,rightward,"The source image shows a room with a poster on the wall and a desk with some items on it. The target image appears to be taken from a different angle, showing more of the room, including a bookshelf and a window. The movement from the source image to the target image seems to be to the right, as the right side of the room is more visible in the target image.",None
pumpkin,seq-01,000675-000703,phi,rightward,18.368649,1,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene. The layout and objects in the kitchen remain consistent, indicating a rightward movement of the camera.",None
pumpkin,seq-01,000646-000696,phi,rightward,36.492849,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene from a slightly different angle. The red cabinets and the sink remain in the same position, and the overall layout of the kitchen is consistent between the two images. The only noticeable difference is the presence of a person in the background of the target image, which suggests that the camera has moved to a new position within the same room.",None
office,seq-03,000734-000760,phi,leftward,17.972381,0,leftward,"The source image shows a room with a chair, a desk, and some equipment. The target image appears to be a continuation of the same room with the same objects, but the perspective is slightly different. The camera seems to have moved closer to the desk, giving a more detailed view of the items on it, such as the papers and the computer monitor. This suggests that the camera moved leftward from the source image to the target image.",None
pumpkin,seq-02,000272-000298,phi,leftward,17.745654,0,leftward,"The source image shows a kitchen with red cabinets and a blue sofa. The target image is taken from a different angle, showing the same kitchen with red cabinets and a blue sofa. The camera appears to have moved leftward to capture the target image, as the angle of the shot is different from the source image. The red cabinets and blue sofa are still visible in both images, but the perspective has changed, indicating that the camera has moved to a different position within the room.",None
pumpkin,seq-06,000853-000940,phi,leftward,65.242274,2,rightward,"The source image shows a kitchen with a counter and some appliances, while the target image shows a different kitchen with red cabinets and a different layout. The camera appears to have moved to the right to capture the target image, as the perspective and arrangement of objects have changed significantly.",None
office,seq-08,000319-000355,phi,leftward,30.253546,1,leftward,"The source image shows a room with a desk and a chair, while the target image shows the same room but with the chair moved to the right side of the desk. This indicates that the camera has moved to the right to capture the target image.",None
pumpkin,seq-01,000253-000285,phi,leftward,19.244707,0,rightward,"The target image appears to be a more focused and clearer version of the source image, suggesting that the camera moved rightward to capture the image with better detail and less blur.",None
pumpkin,seq-01,000236-000283,phi,leftward,30.476948,0,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera possibly moving slightly to the right to capture the image. The position of the appliances and the layout of the kitchen remain consistent, indicating a minor shift in the camera's position.",None
pumpkin,seq-01,000260-000298,phi,leftward,22.321939,1,leftward,"The target image is a zoomed-in version of the source image, focusing on the coffee machine and the red cabinets. The camera appears to have moved closer to the subject, resulting in a larger and more detailed view of the coffee machine and cabinets.",None
pumpkin,seq-06,000900-000931,phi,leftward,18.896098,1,rightward,"The target image appears to be a continuation or a closer view of the source image, with the camera moving to the right to capture a more detailed view of the red cabinets and the sink area. The positioning of the objects and the perspective suggest a rightward movement from the source to the target image.",None
pumpkin,seq-01,000227-000255,phi,leftward,15.123004,1,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene. The arrangement of the coffee machines and the kitchen appliances remain consistent, indicating that the camera has moved horizontally to the right without any significant change in perspective or angle.",None
pumpkin,seq-06,000924-000957,phi,leftward,18.798075,0,leftward,"The source image shows a kitchen with red cabinets and a sink. The target image appears to be taken from a different angle, showing more of the kitchen and the surrounding area. The camera seems to have moved leftward to capture the wider view of the kitchen and the surrounding area.",None
pumpkin,seq-01,000657-000700,phi,rightward,29.413147,1,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera positioned more to the right. This is evident from the change in the perspective of the red cabinets and the countertop, as well as the slight shift in the position of the sink and the paper towels dispenser. The overall composition of the image has also changed, indicating a rightward movement of the camera from the source to the target image.",None
office,seq-07,000182-000218,phi,leftward,20.6164,1,rightward,"The source image shows a room with a desk and a poster on the wall. The target image shows the same room but from a different angle, with the desk and poster still visible. The camera appears to have moved to the right to capture the target image, as the perspective of the room has changed. The desk and poster remain in the same relative positions, but the angle of the camera has shifted, resulting in a different view of the room. Therefore, the main camera movement from the source image to the target image is rightward.",None
office,seq-03,000771-000802,phi,leftward,18.779978,1,leftward,"The target image is a zoomed-in version of the source image, focusing on the chair and the backpack. The camera appears to have moved closer to the chair and the backpack, resulting in a smaller field of view and a more detailed view of these objects. This suggests that the camera moved leftward from the source image to the target image.",None
pumpkin,seq-01,000615-000672,phi,rightward,29.630243,1,rightward,"The target image appears to be a continuation of the source image, with a slight shift in perspective. The camera seems to have moved to the right, capturing a wider view of the counter and the surrounding area. The position of the objects and the layout of the kitchen remain consistent, indicating a rightward movement of the camera.",None
office,seq-03,000750-000790,phi,leftward,25.300213,0,rightward,"The source image shows a room with a computer desk and a chair, while the target image shows the same room but with a different angle, where the chair is now facing the camera. This indicates that the camera has moved to the right to capture the image.",None
pumpkin,seq-06,000879-000917,phi,leftward,27.123125,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving rightward to capture the same scene. The layout and objects in the kitchen remain consistent, indicating that the camera has moved horizontally to the right without any significant change in perspective or angle.",None
pumpkin,seq-01,000239-000279,phi,leftward,26.480473,1,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene. The position of the appliances and the layout of the kitchen remain consistent, indicating that the camera has moved horizontally to the right.",None
pumpkin,seq-01,000246-000285,phi,leftward,24.030683,1,leftward,"The target image appears to be a continuation of the source image, with the camera moving slightly to the right to capture the same scene. The position of the objects and the layout of the kitchen remain consistent, indicating a leftward movement of the camera.",None
pumpkin,seq-01,000261-000298,phi,leftward,21.572128,1,leftward,"The target image is a zoomed-in version of the source image, focusing on the coffee machine. This suggests that the camera moved closer to the subject, which is consistent with a leftward movement. The background elements, such as the red cabinets, are more in focus in the target image, indicating a change in the camera's position relative to the subject.",None
pumpkin,seq-01,000675-000709,phi,rightward,21.697035,0,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera moving to the right. This is evident from the position of the red cabinets and the sink, which are more prominently displayed in the target image. Additionally, the reflection on the glass surface of the sink and the countertop has shifted, indicating a change in the camera's position relative to the objects.",None
pumpkin,seq-01,000262-000296,phi,leftward,19.433601,0,leftward,"The source image shows a kitchen with a counter and a coffee machine. The target image is taken from a similar angle but with a slight shift to the left, as the coffee machine is now more to the left compared to the source image. This indicates a leftward movement of the camera from the source image to the target image.",None
pumpkin,seq-01,000615-000667,phi,rightward,26.127151,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right, capturing the same scene from a slightly different angle. The red cabinets and the sink remain in the same position, and the labels on the drawers are still visible. The only noticeable difference is the slight change in perspective, which suggests a rightward movement of the camera.",None
pumpkin,seq-06,000899-000943,phi,leftward,26.642732,1,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene. The red cabinets and tiled backsplash are consistent in both images, and the arrangement of the kitchen appliances and sink remains unchanged. The only noticeable difference is the presence of labels on the cabinets in the target image, which suggests that the camera has moved to a different angle or position to include these labels in the frame.",None
redkitchen,seq-14,000703-000730,phi,leftward,26.781419,1,rightward,"The source image shows a blurry view of a counter with some objects on it, while the target image is clearer and shows the same counter with the same objects in a different position. This suggests that the camera moved rightward from the source image to the target image, capturing the same scene with a different angle or position.",None
pumpkin,seq-01,000611-000654,phi,rightward,18.888916,1,rightward,"The target image appears to be a continuation of the source image, with a slight shift in the camera angle. The red cabinets and tiled backsplash remain consistent, but the perspective has changed, suggesting a rightward movement of the camera.",None
pumpkin,seq-01,000269-000304,phi,leftward,19.605692,1,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right to capture the same scene. The position of the objects and the layout of the kitchen remain consistent, indicating a rightward movement of the camera.",None
pumpkin,seq-06,000877-000924,phi,leftward,33.353205,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving rightward to capture the same scene. The layout and objects in the kitchen remain consistent, indicating that the camera has moved horizontally to the right without any significant change in perspective or angle.",None
office,seq-03,000781-000806,phi,leftward,15.632855,1,leftward,"The source image shows a room with a chair and a backpack on the floor, while the target image shows the same room but with the chair and backpack appearing to be in a different position. This suggests that the camera has moved to the left, causing the objects to appear in a new position relative to the camera's perspective.",None
heads,seq-01,000215-000242,phi,leftward,17.501885,1,rightward,"The position of the objects in the source image is slightly different from the target image. The can on the desk has moved to the left, and the notepad has moved to the right. This suggests that the camera has moved to the right to capture the target image.",None
chess,seq-01,000777-000833,phi,rightward,16.633739,1,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera positioned more to the right side of the shelf. This suggests that the camera has moved to the right from the position in the source image to capture the target image.",None
office,seq-07,000241-000273,phi,leftward,18.829098,1,rightward,"The source image shows a room with a desk and a computer, while the target image shows the same room but with a different angle, where the desk and computer are now more visible. This suggests that the camera moved to the right to capture the target image.",None
heads,seq-01,000222-000249,phi,leftward,15.069571,0,rightward,"The position of the objects, particularly the two white heads, has not changed significantly between the source image and the target image. The background elements, such as the desk and the items on it, appear to be in the same relative positions. This suggests that the camera has moved to the right, capturing a wider view of the scene without altering the perspective of the main subjects.",None
office,seq-07,000182-000217,phi,leftward,20.055428,1,leftward,"The source image shows a room with a desk and a poster on the wall. The target image shows the same room but from a different angle, with the camera positioned to the left of the desk. This indicates that the camera has moved leftward from the source image to the target image.",None
pumpkin,seq-03,000872-000897,phi,rightward,15.197856,0,rightward,"The position of the objects in the image, such as the couch, the chair, and the apple, have not changed significantly between the source image and the target image. This suggests that the camera moved in a direction that did not alter the perspective of these objects, which is consistent with a rightward movement. The background elements, such as the red cabinets and the counter, also appear to be in the same position, further supporting this conclusion. Therefore, the main camera movement from the source image to the target image is likely to be rightward.",None
office,seq-03,000752-000783,phi,leftward,20.227693,1,leftward,"The source image shows a wider view of the room, while the target image is a closer view of the same room. The camera has moved leftward to focus on a specific area, likely the desk and the chair, as the background elements such as the backpack and the window remain consistent in both images.",None
office,seq-03,000763-000797,phi,leftward,19.621168,1,leftward,"The source image shows a wider view of the room, while the target image is a closer view of the same room. The camera appears to have moved leftward to focus on the desk and the chair, resulting in a narrower field of view in the target image compared to the source image.",None
redkitchen,seq-04,000362-000399,phi,rightward,15.299785,0,rightward,"The target image appears to be a closer and more focused version of the source image, suggesting that the camera moved closer to the object of interest, which in this case is the red cabinet with the wooden box on top. The left side of the cabinet and the left side of the image in the source image are more visible in the target image, indicating a rightward movement of the camera.",None
office,seq-07,000157-000191,phi,leftward,19.258184,1,unable to judge,"The source image and the target image appear to be taken from the same angle and perspective, with no significant changes in the layout or positioning of objects. The main difference is the lighting and clarity, with the target image being brighter and clearer than the source image. This suggests that the camera movement was not significant, and the main difference is due to changes in lighting conditions or camera settings.",None
pumpkin,seq-01,000619-000674,phi,rightward,28.542106,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right, capturing a wider view of the kitchen area. The position of the objects and the layout of the cabinets and countertops remain consistent, indicating that the camera has moved horizontally across the scene.",None
pumpkin,seq-01,000644-000708,phi,rightward,44.821271,1,rightward,"The target image appears to be taken from a different angle compared to the source image. The position of the red cabinets and the countertop layout are consistent, but the perspective and the angle of the shot have changed, indicating a rightward movement of the camera.",None
pumpkin,seq-01,000229-000267,phi,leftward,23.648201,1,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera moving to the right. This is evident from the change in the position of the objects on the counter, such as the microwave and the coffee machine, which are now more to the right in the target image than in the source image. Additionally, the perspective of the red cabinets has shifted, indicating a rightward movement of the camera.",None
pumpkin,seq-06,000903-000932,phi,leftward,17.607082,0,leftward,"The source image shows a kitchen with red cabinets and a sink, while the target image shows the same kitchen from a slightly different angle. The main difference between the two images is the position of the camera, which has moved to the left side of the kitchen. This can be inferred from the change in the perspective of the cabinets and the sink, as well as the position of the labels on the cabinets. The camera movement is from right to left, which corresponds to option 0.",None
pumpkin,seq-01,000695-000721,phi,rightward,15.163256,1,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera positioned more to the right. This suggests that the camera moved rightward from the source image to the target image.",None
pumpkin,seq-06,000860-000895,phi,leftward,33.106083,1,leftward,"The source image shows a room with a vending machine on the left side and a door on the right side. The target image shows the same room but the vending machine is now on the right side and the door is now on the left side. This indicates that the camera has moved from the left side of the room to the right side of the room, which corresponds to a leftward movement.",None
fire,seq-02,000044-000177,phi,rightward,16.839783,0,rightward,"The target image appears to be a continuation of the source image with a slight shift to the right, as the objects and their positions are very similar. The yellow caution sign and the fire extinguisher display are in the same relative positions, and the plant and the black object on the floor have moved slightly to the right as well. This suggests that the camera moved rightward to capture the target image.",None
pumpkin,seq-03,000856-000887,phi,rightward,15.183703,0,leftward,"The source image (image1) and the target image (image2) appear to be taken from the same angle and perspective, with the same objects in the same positions. There is no noticeable difference in the camera's position or movement between the two images. Therefore, it is not possible to determine any significant camera movement from the source image to the target image.",None
office,seq-03,000776-000808,phi,leftward,20.387582,0,leftward,"The source image shows a room with a chair, a desk, and a backpack. The target image appears to be a continuation of the same room with the chair and backpack in the same position, but the desk and other objects are slightly different. This suggests that the camera moved leftward to capture the target image, as the main objects in the room remain consistent but the perspective changes slightly.",None
pumpkin,seq-06,000850-000912,phi,leftward,50.879482,2,rightward,"The target image appears to be taken from a different angle, with the camera positioned to the right side of the scene, compared to the source image where the camera seems to be more centered. This suggests that the camera has moved to the right to capture the target image.",None
office,seq-07,000242-000270,phi,leftward,16.168376,1,rightward,"The target image is a zoomed-in version of the source image, focusing on a specific area of the room. The camera appears to have moved rightward to capture a closer view of the desks and chairs, as the left side of the room is less detailed and more blurred compared to the right side. This suggests that the camera moved towards the right to provide a clearer and more detailed view of the objects in that area.",None
office,seq-08,000317-000349,phi,leftward,25.120151,1,leftward,"The target image appears to be a continuation of the source image, with the camera moving to the left, as the left side of the room is more visible in the target image. The position of the desk and the chair remain consistent, indicating a leftward movement of the camera.",None
pumpkin,seq-01,000607-000648,phi,rightward,15.264768,1,leftward,"The target image appears to be a continuation of the source image, with the camera moving to the right, capturing the same scene but from a slightly different angle. The red cabinets and the sink remain in the same position, and the labels on the bins are still visible. The only noticeable difference is the slight change in perspective, which suggests a rightward movement of the camera.",None
pumpkin,seq-06,000851-000929,phi,leftward,60.636645,1,leftward,"The source image shows a kitchen with a counter and some appliances, while the target image shows a different kitchen with a counter and some appliances. The main difference between the two images is the color of the cabinets. The source image has black cabinets, while the target image has red cabinets. This suggests that the camera moved from a kitchen with black cabinets to a kitchen with red cabinets, which means the camera moved leftward.",None
pumpkin,seq-03,000862-000894,phi,rightward,17.264059,0,leftward,"The source image and the target image appear to be very similar, with only slight differences in the positioning of objects and the angle of the shot. The main difference is that the chair in the source image is slightly more to the left compared to the target image, and the watermelon is positioned slightly differently. However, these differences are not significant enough to suggest a leftward or rightward movement of the camera. Therefore, the main camera movement is likely unable to be determined from the given images.",None
pumpkin,seq-06,000853-000881,phi,leftward,28.502468,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving rightward to capture the same scene from a slightly different angle. The layout and objects in the image remain consistent, indicating that the camera has moved horizontally across the scene.",None
pumpkin,seq-06,000938-000970,phi,leftward,17.165657,2,rightward,"The target image appears to be a continuation or a closer view of the source image, with the camera moving slightly to the right to capture a more detailed view of the same scene. The position of the objects and the layout of the room have not changed significantly, indicating a rightward movement of the camera.",None
fire,seq-02,000050-000188,phi,rightward,22.448422,1,rightward,"The yellow caution sign in the foreground has moved to the right, indicating that the camera has moved rightward to capture the target image. Additionally, the position of the fire extinguisher and the red box has shifted slightly to the right, further supporting the rightward movement of the camera.",None
office,seq-08,000313-000346,phi,leftward,23.225151,1,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right, capturing the same scene but from a slightly different angle. The position of the desk and the chair remain consistent, and the overall layout of the room does not change significantly, indicating a rightward movement of the camera.",None
pumpkin,seq-01,000283-000313,phi,leftward,18.188043,0,rightward,"The target image appears to be a continuation of the source image, with the camera moving to the right, capturing the same scene from a slightly different angle. The red cabinets and the black appliances remain in the same positions, indicating that the camera has not moved significantly to the left or right. The only noticeable difference is the perspective from which the image is taken, but this does not suggest a leftward or rightward movement. Therefore, the main camera movement is rightward.",None
pumpkin,seq-01,000272-000312,phi,leftward,22.285289,0,leftward,"The source image (image1) and the target image (image2) appear to be taken from the same angle and perspective, with the kitchen counter and cabinets in the foreground and the coffee machine in the background. There is no noticeable difference in the positioning of the objects or the camera angle between the two images, suggesting that the main camera movement was not significant. The slight differences in lighting and clarity could be due to variations in camera settings or environmental conditions rather than camera movement.",None
office,seq-03,000730-000759,phi,leftward,19.870397,0,leftward,"The source image shows a room with a chair, a desk, and some objects scattered around. The target image appears to be taken from a different angle, showing more of the room and the objects. The camera seems to have moved leftward to capture the wider view of the room in the target image.",None
redkitchen,seq-05,000513-000563,phi,leftward,27.316209,1,leftward,"The source image shows a scene with a red shelf and a television displaying a red screen. The target image appears to be a continuation of the scene with the television still displaying the red screen. The camera seems to have moved to the right, as the position of the television and the shelf remains consistent, but the angle of the shot has changed slightly, giving a different perspective of the scene.",None
pumpkin,seq-01,000685-000716,phi,rightward,17.733957,2,rightward,"The target image appears to be taken from a slightly different angle compared to the source image, with the camera moving to the right. This is evident from the position of the red cabinets and the countertop, which are more visible in the target image. Additionally, the angle of the sink and the faucet has changed, suggesting a rightward movement of the camera.",None
